n,t_seconds
18,0.00015404203440994024
97,0.019606083049438894
11,3.26669542118907e-05
14,6.337498780339956e-05
32,0.0006834169616922736
58,0.004541624919511378
32,0.0008722920902073383
86,0.013123332988470793
11,3.362505231052637e-05
26,0.0003915840061381459
34,0.0008568749763071537
11,3.3374992199242115e-05
26,0.00041375006549060345
52,0.002917042002081871
46,0.001964750001206994
31,0.0006190830608829856
10,2.433289773762226e-05
65,0.006080458988435566
15,9.195809252560139e-05
17,0.0001251670764759183
14,7.583294063806534e-05
69,0.007351999985985458
91,0.0169167909771204
96,0.019390458008274436
21,0.0002501250710338354
39,0.0014494169736281037
91,0.016798957949504256
16,9.829108603298664e-05
31,0.0006747920997440815
47,0.0023812499130144715
60,0.004789792001247406
53,0.0033898749388754368
17,0.00012770795729011297
11,4.0041981264948845e-05
71,0.008335791993886232
30,0.0006059999577701092
34,0.0008709169924259186
22,0.0002460000105202198
91,0.015966457896865904
15,8.066697046160698e-05
