n,t_seconds
571,0.007109208032488823
1033,0.029365916969254613
451,0.004532207967713475
455,0.004516292014159262
2381,0.15796129195950925
1167,0.040025125024840236
2933,0.2385697920108214
1358,0.0499632079154253
1092,0.039722624933347106
1530,0.07116112497169524
222,0.0010848749661818147
718,0.014713959069922566
213,0.0009075420675799251
836,0.017911208095028996
1386,0.05262104200664908
4192,0.5226566250203177
595,0.009730624966323376
457,0.005740624968893826
1449,0.05574645893648267
1586,0.07048150000628084
329,0.0022657919907942414
2326,0.1534402909455821
4592,0.5963403750211
4533,0.5298347080824897
1283,0.044292874983511865
2477,0.15789808402769268
409,0.0035460409708321095
3621,0.329201458953321
2337,0.14343891700264066
2960,0.24420675006695092
3417,0.32920062507037073
457,0.004564666887745261
433,0.004967917106114328
1335,0.04512591694947332
277,0.0016706670867279172
1636,0.07288229197729379
1345,0.04709054192062467
1040,0.025477666989900172
1141,0.03385591704864055
2740,0.2016139579936862
435,0.004934957949444652
894,0.019730166997760534
4090,0.4646608339389786
247,0.001160958083346486
4288,0.4835172910243273
1347,0.04812787496484816
3255,0.28892441699281335
1141,0.0362671670736745
2066,0.12178504106123
1008,0.02660870796535164
261,0.0014887499855831265
1977,0.11176199989859015
1985,0.11571566597558558
1011,0.026353541994467378
2252,0.13953845796640962
3958,0.42112404201179743
793,0.016304375021718442
337,0.002722166944295168
1610,0.06663779204245657
217,0.0009674170287325978
4281,0.5037708329036832
1186,0.036263750051148236
3035,0.22446466702967882
4896,0.5805273749865592
3512,0.3128052920801565
350,0.0027081669541075826
312,0.0022228750167414546
1376,0.047911582980304956
2192,0.13086820906028152
884,0.021456292015500367
866,0.02044800005387515
248,0.0011094579240307212
4932,0.6533138749655336
726,0.011941916076466441
1088,0.030985624995082617
1318,0.043363875010982156
3084,0.25548916694242507
297,0.0017602910520508885
2941,0.22985579096712172
2202,0.12113091698847711
4469,0.5086273750057444
782,0.017609375063329935
305,0.00232579093426466
1423,0.05112333293072879
581,0.009334666072390974
713,0.013036041986197233
752,0.015412791050039232
806,0.017618583980947733
326,0.0025400409940630198
3234,0.2886485419003293
2491,0.16207116597797722
1410,0.052309458958916366
1050,0.02659879089333117
223,0.0009161249035969377
367,0.0029056250350549817
205,0.0008942920248955488
1270,0.03856695897411555
355,0.003222708939574659
385,0.0030257079051807523
3252,0.25507845904212445
