n,t_seconds
244631,0.003789875074289739
2941,3.9082951843738556e-05
184111,0.002947708941064775
1692,2.329191192984581e-05
8276,0.00011362507939338684
10067,0.0001320410519838333
248518,0.0032824589870870113
66485,0.0009612080175429583
211269,0.003149542026221752
12386,0.00017195800319314003
442986,0.006430624984204769
277500,0.004119749995879829
42358,0.0005633749533444643
16625,0.00020679202862083912
16071,0.0002062079729512334
274004,0.003750499919988215
64257,0.0008385420078411698
23012,0.0003009579377248883
6095,7.858395110815763e-05
38104,0.0004959170473739505
18865,0.00024870806373655796
1841,2.2999942302703857e-05
2566,3.279093652963638e-05
380488,0.005011584027670324
60496,0.0008485839935019612
7394,9.175005834549665e-05
270237,0.003481874940916896
80016,0.0011129999766126275
459668,0.007270541973412037
1036,1.77919864654541e-05
112216,0.002169208019040525
7639,0.000144458026625216
12484,0.0002798340283334255
125078,0.0022771250223740935
1305,2.2666994482278824e-05
11105,0.00020341703202575445
1188,2.0249979570508003e-05
95695,0.0018495420226827264
1075,1.8125050701200962e-05
19526,0.00039608299266546965
508509,0.009610916953533888
3020,5.0833914428949356e-05
90684,0.0015310000162571669
1283,1.995800994336605e-05
23245,0.00039479206316173077
114526,0.002026083064265549
292890,0.005607582977972925
2619,4.299997817724943e-05
369123,0.005067916004918516
809573,0.011027875007130206
472343,0.008092082920484245
40215,0.0006964589701965451
382580,0.006654624943621457
381023,0.005268207984045148
149914,0.0019361249869689345
158172,0.002115875016897917
256914,0.0033262079814448953
78839,0.0010164169361814857
520230,0.006827458972111344
1018,1.2125005014240742e-05
95083,0.0016198749653995037
25467,0.00043291691690683365
523776,0.008984083076938987
2203,3.579095937311649e-05
2855,4.641700070351362e-05
203866,0.0029387500835582614
371547,0.00554924993775785
4320,7.591699250042439e-05
22702,0.0003987499512732029
22814,0.0003886250779032707
33460,0.0005820830119773746
93833,0.0016463749343529344
6547,0.00011600006837397814
142509,0.0024033329682424664
1174,1.7916900105774403e-05
39555,0.000573707977309823
8302,0.00010166701395064592
1647,1.9583036191761494e-05
2899,3.516604192554951e-05
3828,4.650000482797623e-05
85753,0.001089500030502677
2161,2.5999965146183968e-05
2661,3.2125040888786316e-05
292215,0.0036453750217333436
783689,0.013541084015741944
1985,3.333296626806259e-05
149359,0.002633041935041547
49888,0.0008740409975871444
49719,0.0008798330090939999
6025,0.00010329193901270628
297664,0.005507125053554773
864332,0.014854500070214272
472129,0.008847791003063321
2447,3.899994771927595e-05
6301,0.00010412500705569983
3514,5.716702435165644e-05
344954,0.004805875010788441
501770,0.006504500051960349
155826,0.001991666969843209
9490,0.0001141249667853117
3165,4.183396231383085e-05
30987,0.0004910000134259462
4382,4.824995994567871e-05
13943,0.00016087503172457218
142049,0.0016487089451402426
1987,2.274999860674143e-05
2005,2.3333006538450718e-05
555561,0.006756625021807849
112259,0.0015376670053228736
284296,0.004469624953344464
117307,0.0019209579331800342
15350,0.0002627079375088215
3634,6.599992047995329e-05
7282,0.00011491705663502216
520626,0.00857537507545203
7553,0.00011829100549221039
35310,0.0005596250994130969
1874,2.829195000231266e-05
61603,0.0009729160228744149
1849,2.7792062610387802e-05
253598,0.004571707919239998
2152,4.2749918065965176e-05
30414,0.0006172499852254987
171612,0.002822374925017357
1452,2.2125081159174442e-05
234950,0.003855166956782341
25020,0.0003955420106649399
5930,9.512505494058132e-05
218302,0.004205375094898045
1277,2.1165935322642326e-05
262534,0.004952916991896927
22603,0.00040983303915709257
39947,0.0007555830525234342
15234,0.00024608406238257885
10994,0.0001736249541863799
243967,0.003868291969411075
14497,0.00022833305411040783
10269,0.00016050005797296762
512249,0.006935333018191159
167211,0.0020782919600605965
669129,0.011052957968786359
8442,0.0001484589884057641
365694,0.0043662909884005785
9281,0.00010279100388288498
251707,0.002951832953840494
144028,0.001817291951738298
9034,0.00011112494394183159
191225,0.0023849590215831995
19242,0.00023941602557897568
11410,0.0001402499619871378
